filename,tool_configuration,language,ground-truth
/samples/Python/protocol_buffer_pb2.py,starcoder2,Using device: cpu,Python
/samples/Python/argparse.pyi,starcoder2,Using device: cpu,Python
/samples/Python/python3,starcoder2,Using device: cpu,Python
/samples/Python/python2,starcoder2,Using device: cpu,Python
/samples/Python/tornado-httpserver.py,starcoder2,Using device: cpu,Python
/samples/Python/action.cgi,starcoder2,Using device: cpu,Python
/samples/Python/simpleclient.rpy,starcoder2,Using device: cpu,Python
/samples/Python/Cinema4DPythonPlugin.pyp,starcoder2,Using device: cpu,Python
/samples/Python/django-models-base.py,starcoder2,Using device: cpu,Python
/samples/Python/toolchain.gypi,starcoder2,Using device: cpu,Python
/samples/Python/MoveEye.pyde,starcoder2,Using device: cpu,Python
/samples/Python/standalone.gypi,starcoder2,Using device: cpu,Python
