filename,tool_configuration,language,ground-truth
/samples/M4Sugar/list.m4,starcoder2-3b,m4,M4Sugar
/samples/M4Sugar/ax_ruby_devel.m4,starcoder2-3b,Python,M4Sugar
/samples/M4Sugar/filenames/configure.ac,starcoder2-3b,AC,M4Sugar
/samples/SAS/detect_phi.sas,starcoder2-3b,if,SAS
/samples/Monkey C/VesselModel.mc,starcoder2-3b,Python,Monkey C
/samples/SaltStack/eval.sls,starcoder2-3b,Python,SaltStack
/samples/SaltStack/truecrypt.sls,starcoder2-3b,Detect,SaltStack
/samples/SaltStack/top.sls,starcoder2-3b,Python,SaltStack
/samples/SaltStack/gimp.sls,starcoder2-3b,Python,SaltStack
/samples/SaltStack/gpg4win-light.sls,starcoder2-3b,Python,SaltStack
/samples/SaltStack/openoffice.sls,starcoder2-3b,en,SaltStack
/samples/Whiley/option.whiley,starcoder2-3b,Detect,Whiley
/samples/Whiley/conway.whiley,starcoder2-3b,C++,Whiley
/samples/Whiley/minesweeper.whiley,starcoder2-3b,JavaScript,Whiley
/samples/MATLAB/varargin_to_structure.m,starcoder2-3b,Python,MATLAB
/samples/MATLAB/Lagrangian_points.m,starcoder2-3b,Python,MATLAB
/samples/MATLAB/test_rk_par.m,starcoder2-3b,clear,MATLAB
/samples/MATLAB/test_system_state_space.m,starcoder2-3b,Python,MATLAB
/samples/MATLAB/double_gyre.m,starcoder2-3b,C++,MATLAB
/samples/MATLAB/write_gains.m,starcoder2-3b,Python,MATLAB
/samples/MATLAB/adapting_structural_model.m,starcoder2-3b,Python,MATLAB
/samples/MATLAB/gpu_RKF45_FILE.m,starcoder2-3b,Python,MATLAB
/samples/MATLAB/convert_variable.m,starcoder2-3b,Python,MATLAB
/samples/MATLAB/load_bikes.m,starcoder2-3b,Python,MATLAB
/samples/MATLAB/RK4.m,starcoder2-3b,Python,MATLAB
/samples/MATLAB/plant.m,starcoder2-3b,Python,MATLAB
/samples/MATLAB/FTLEH.m,starcoder2-3b,Python,MATLAB
/samples/MATLAB/FTLE_reg.m,starcoder2-3b,Python,MATLAB
/samples/MATLAB/matlab_function.m,starcoder2-3b,Python,MATLAB
/samples/MATLAB/average.m,starcoder2-3b,Python,MATLAB
/samples/MATLAB/fit_adapt_linear.m,starcoder2-3b,s,MATLAB
/samples/MATLAB/example.m,starcoder2-3b,Python,MATLAB
/samples/MATLAB/lane_change.m,starcoder2-3b,Python,MATLAB
/samples/MATLAB/Traj.m,starcoder2-3b,Python,MATLAB
/samples/MATLAB/normalize.m,starcoder2-3b,Python,MATLAB
/samples/MATLAB/create_ieee_paper_plots.m,starcoder2-3b,get,MATLAB
/samples/MATLAB/bicycle_state_space.m,starcoder2-3b,Python,MATLAB
/samples/MATLAB/par_text_to_struct.m,starcoder2-3b,Python,MATLAB
/samples/MATLAB/fit_adapt.m,starcoder2-3b,Python,MATLAB
/samples/MATLAB/matlab_class.m,starcoder2-3b,Python,MATLAB
/samples/MATLAB/Check_plot.m,starcoder2-3b,Python,MATLAB
/samples/MATLAB/Integrate1.m,starcoder2-3b,Python,MATLAB
/samples/Roff/crude-hack.man,starcoder2-3b,Python,Roff
/samples/Roff/roff.nr,starcoder2-3b,bp,Roff
/samples/Roff/refs.rno,starcoder2-3b,C,Roff
/samples/Roff/qsort.3qt,starcoder2-3b,C,Roff
/samples/Roff/fsinterface.ms,starcoder2-3b,C,Roff
/samples/Roff/dsw.1x,starcoder2-3b,pa,Roff
/samples/Roff/foo.3pm,starcoder2-3b,Python,Roff
/samples/Roff/create_view.l,starcoder2-3b,Detect,Roff
/samples/Roff/switch.3m,starcoder2-3b,C,Roff
/samples/Roff/vt.3x,starcoder2-3b,C++,Roff
