filename,tool_configuration,language,ground-truth
/samples/1C Enterprise/test_canCompile.os,claude-3-5-sonnet-end2000,1C,1C Enterprise
/samples/2-Dimensional Array/tailmodel.2da,claude-3-5-sonnet-end2000,Python,2-Dimensional Array
/samples/2-Dimensional Array/appearance.2da,claude-3-5-sonnet-end2000,JSON,2-Dimensional Array
/samples/2-Dimensional Array/appearance.2da,claude-3-5-sonnet-beg2000,Data,2-Dimensional Array
/samples/2-Dimensional Array/tailmodel.2da,claude-3-5-sonnet-mid2000,Text,2-Dimensional Array
/samples/2-Dimensional Array/appearance.2da,claude-3-5-sonnet-mid2000,Unknown,2-Dimensional Array
/samples/ABAP CDS/zcds_monsters_parameters.ddls.asddls,claude-3-5-sonnet-end2000,ABAP,ABAP CDS
/samples/AGS Script/KeyboardMovement_102.ash,claude-3-5-sonnet-end2000,AGS,AGS Script
/samples/AGS Script/GlobalScript.ash,claude-3-5-sonnet-end2000,C++,AGS Script
/samples/AGS Script/GlobalScript.ash,claude-3-5-sonnet-beg2000,C,AGS Script
/samples/AGS Script/GlobalScript.asc,claude-3-5-sonnet-mid2000,JavaScript,AGS Script
/samples/AIDL/IVoid.aidl,claude-3-5-sonnet-end2000,Java,AIDL
/samples/AL/RefreshALIssuesCode.al,claude-3-5-sonnet-end2000,Pascal,AL
/samples/API Blueprint/actions.apib,claude-3-5-sonnet-end2000,JSON,API Blueprint
/samples/API Blueprint/simple.apib,claude-3-5-sonnet-end2000,API,API Blueprint
/samples/API Blueprint/attributes.apib,claude-3-5-sonnet-mid2000,Markdown,API Blueprint
/samples/ASL/example.dsl,claude-3-5-sonnet-end2000,ACPI,ASL
/samples/ASN.1/example.asn,claude-3-5-sonnet-end2000,ASN,ASN.1
/samples/ASP.NET/OpenAuthProviders.ascx,claude-3-5-sonnet-end2000,C#,ASP.NET
/samples/ASP.NET/Login.aspx,claude-3-5-sonnet-end2000,ASP,ASP.NET
/samples/Adblock Filter List/test_rules.txt,claude-3-5-sonnet-end2000,JSON,Adblock Filter List
/samples/Adblock Filter List/abp-filters-anti-cv.txt,claude-3-5-sonnet-end2000,JavaScript,Adblock Filter List
/samples/Adblock Filter List/anti-facebook.txt,claude-3-5-sonnet-end2000,Text,Adblock Filter List
/samples/Adblock Filter List/Imperial Units Remover.txt,claude-3-5-sonnet-end2000,AdBlock,Adblock Filter List
/samples/Adblock Filter List/Imperial Units Remover.txt,claude-3-5-sonnet-mid2000,Adblock,Adblock Filter List
/samples/Adblock Filter List/anti-facebook.txt,claude-3-5-sonnet-mid2000,PHP,Adblock Filter List
/samples/Adblock Filter List/test_rules.txt,claude-3-5-sonnet-mid2000,CSS,Adblock Filter List
/samples/Adobe Font Metrics/OpenSansCondensed-Bold.afm,claude-3-5-sonnet-mid2000,FontForge,Adobe Font Metrics
/samples/Adobe Font Metrics/lambda.afm,claude-3-5-sonnet-end2000,AFM,Adobe Font Metrics
/samples/Adobe Font Metrics/OpenSansCondensed-Bold.afm,claude-3-5-sonnet-end2000,Python,Adobe Font Metrics
/samples/Adobe Font Metrics/SpecialElite.afm,claude-3-5-sonnet-mid2000,PostScript,Adobe Font Metrics
/samples/Alpine Abuild/filenames/APKBUILD,claude-3-5-sonnet-end2000,Shell,Alpine Abuild
/samples/Altium Designer/Sample Board Design.PcbDoc,claude-3-5-sonnet-mid2000,Configuration,Altium Designer
/samples/Altium Designer/Sample Schematic Sheet.SchDoc,claude-3-5-sonnet-end2000,Skipping file due to encoding error: /samples/Altium Designer/Sample Schematic Sheet.SchDoc,Altium Designer
/samples/Altium Designer/Sample Board Design.PcbDoc,claude-3-5-sonnet-end2000,JSON,Altium Designer
/samples/Altium Designer/Sample Altium Project.PrjPcb,claude-3-5-sonnet-end2000,INI,Altium Designer
/samples/Ant Build System/filenames/ant.xml,claude-3-5-sonnet-end2000,XML,Ant Build System
/samples/Ant Build System/filenames/ant.xml,claude-3-5-sonnet-beg2000,Ant,Ant Build System
/samples/Antlers/sitemap.antlers.xml,claude-3-5-sonnet-end2000,XML,Antlers
/samples/Antlers/kitchensink.antlers.php,claude-3-5-sonnet-end2000,HTML,Antlers
/samples/ApacheConf/apache.vhost,claude-3-5-sonnet-end2000,Apache,ApacheConf
/samples/Apex/TwilioAPI.cls,claude-3-5-sonnet-end2000,Java,Apex
/samples/Apex/BooleanUtils.cls,claude-3-5-sonnet-beg2000,Heressr,Apex
/samples/Apollo Guidance Computer/BURN_BABY_BURN--MASTER_IGNITION_ROUTINE.agc,claude-3-5-sonnet-beg2000,AGC,Apollo Guidance Computer
/samples/Apollo Guidance Computer/BURN_BABY_BURN--MASTER_IGNITION_ROUTINE.agc,claude-3-5-sonnet-end2000,Assembly,Apollo Guidance Computer
/samples/AspectJ/CacheAspect.aj,claude-3-5-sonnet-end2000,Java,AspectJ
