filename,tool_configuration,language,ground-truth
/samples/RPM Spec/manos.spec,gpt-4o-end2000,RPM,RPM Spec
/samples/RPM Spec/erlang-erlydtl.spec,gpt-4o-end2000,RPM,RPM Spec
/samples/RPM Spec/apache.spec,gpt-4o-end2000,The,RPM Spec
/samples/CWeb/mpmathdouble.w,gpt-4o-end2000,C,CWeb
/samples/CWeb/sat-life.w,gpt-4o-end2000,C,CWeb
/samples/Cycript/utils.cy,gpt-4o-end2000,JavaScript,Cycript
/samples/KerboScript/lib_pid.ks,gpt-4o-end2000,kOS,KerboScript
/samples/KerboScript/hoverslam.ks,gpt-4o-end2000,kOS,KerboScript
/samples/KerboScript/launch.ks,gpt-4o-end2000,kOS,KerboScript
/samples/NCL/primero.ncl,gpt-4o-end2000,Python,NCL
/samples/Go Module/filenames/go.mod,gpt-4o-end2000,Go,Go Module
/samples/Toit/chatbot.toit,gpt-4o-end2000,DSL,Toit
/samples/Dogescript/example.djs,gpt-4o-end2000,JavaScript,Dogescript
/samples/JSON with Comments/Default (Linux).sublime-mousemap,gpt-4o-end2000,JSON,JSON with Comments
/samples/JSON with Comments/coc.jsonc,gpt-4o-end2000,The,JSON with Comments
/samples/JSON with Comments/jade.sublime-completions,gpt-4o-end2000,JavaScript,JSON with Comments
/samples/JSON with Comments/SourcePawn.sublime-build,gpt-4o-end2000,JSON,JSON with Comments
/samples/JSON with Comments/Dart.sublime-commands,gpt-4o-end2000,JSON,JSON with Comments
/samples/JSON with Comments/vue.code-snippets,gpt-4o-end2000,TypeScript,JSON with Comments
/samples/JSON with Comments/AMPL.sublime-build,gpt-4o-end2000,JSON,JSON with Comments
/samples/JSON with Comments/Context.sublime-menu,gpt-4o-end2000,JSON,JSON with Comments
/samples/JSON with Comments/Mariana.sublime-color-scheme,gpt-4o-end2000,JSON,JSON with Comments
/samples/JSON with Comments/Tubnil.sublime-theme,gpt-4o-end2000,The,JSON with Comments
/samples/JSON with Comments/RunBuild.sublime-macro,gpt-4o-end2000,Haxe,JSON with Comments
/samples/JSON with Comments/CLIPS.sublime-settings,gpt-4o-end2000,The,JSON with Comments
/samples/JSON with Comments/Default.sublime-keymap,gpt-4o-end2000,JSON,JSON with Comments
/samples/JSON with Comments/Dart.sublime-project,gpt-4o-end2000,The,JSON with Comments
/samples/JSON with Comments/filenames/.swcrc,gpt-4o-end2000,JavaScript,JSON with Comments
/samples/JSON with Comments/filenames/language-configuration.json,gpt-4o-end2000,JSON,JSON with Comments
