,ground-truth,gpt-4o-beg2000,gpt-4o-end2000,gpt-4o-mid2000
1C Enterprise,6,0.0,0.0,0.0
2-Dimensional Array,2,0.0,0.0,0.0
4D,4,4.0,4.0,4.0
ABAP CDS,2,0.0,0.0,0.0
ABAP,1,1.0,1.0,1.0
ABNF,1,1.0,1.0,1.0
AGS Script,4,0.0,0.0,0.0
AIDL,2,1.0,2.0,1.0
AL,3,3.0,3.0,3.0
AMPL,2,2.0,2.0,2.0
API Blueprint,3,0.0,0.0,0.0
APL,3,3.0,3.0,2.0
ASL,2,1.0,0.0,1.0
ASN.1,1,0.0,0.0,0.0
ASP.NET,4,0.0,0.0,0.0
ATS,9,8.0,9.0,9.0
ActionScript,4,4.0,4.0,4.0
Adblock Filter List,5,0.0,0.0,0.0
Adobe Font Metrics,3,0.0,0.0,0.0
Agda,1,1.0,1.0,1.0
Alloy,3,3.0,3.0,3.0
Alpine Abuild,1,0.0,0.0,0.0
Altium Designer,4,0.0,0.0,0.0
AngelScript,2,2.0,2.0,2.0
Ant Build System,1,0.0,0.0,0.0
Antlers,5,1.0,1.0,1.0
ApacheConf,4,0.0,0.0,0.0
Apex,9,9.0,8.0,9.0
Apollo Guidance Computer,1,0.0,0.0,0.0
AppleScript,7,7.0,7.0,7.0
AsciiDoc,3,3.0,3.0,3.0
AspectJ,2,0.0,0.0,0.0
Assembly,11,10.0,10.0,10.0
Astro,1,1.0,1.0,1.0
Asymptote,2,2.0,2.0,2.0
AutoHotkey,1,1.0,1.0,1.0
Avro IDL,1,0.0,0.0,0.0
Awk,1,1.0,1.0,1.0
B4X,3,2.0,3.0,1.0
BASIC,4,2.0,3.0,3.0
BQN,2,1.0,1.0,1.0
Ballerina,5,5.0,5.0,5.0
Beef,3,0.0,0.0,0.0
Befunge,5,5.0,5.0,5.0
Berry,2,0.0,0.0,0.0
BibTeX,2,2.0,2.0,2.0
Bicep,3,2.0,2.0,2.0
Bikeshed,2,0.0,0.0,0.0
BitBake,6,5.0,5.0,5.0
Blade,2,0.0,0.0,0.0
BlitzBasic,3,0.0,0.0,0.0
BlitzMax,1,1.0,1.0,1.0
Bluespec BH,4,0.0,0.0,0.0
