filename,tool_configuration,language,ground-truth
/samples/1C Enterprise/ci_before_script.os,guesslang,,1C Enterprise
/samples/1C Enterprise/Document.РасходТовара.ObjectModule.bsl,cloc,,1C Enterprise
/samples/1C Enterprise/CommonModule.ОбменМобильныеОбщее.Module.bsl,magika,c,1C Enterprise
/samples/1C Enterprise/ci_before_script.os,magika,javascript,1C Enterprise
/samples/1C Enterprise/Document.РасходТовара.ObjectModule.bsl,magika,lisp,1C Enterprise
/samples/1C Enterprise/ci_before_script.os,pygments-filename,text,1C Enterprise
/samples/2-Dimensional Array/tailmodel.2da,guesslang,,2-Dimensional Array
/samples/2-Dimensional Array/appearance.2da,magika,python,2-Dimensional Array
/samples/2-Dimensional Array/tailmodel.2da,pygments-filename,text,2-Dimensional Array
/samples/2-Dimensional Array/tailmodel.2da,hyperpolyglot,,2-Dimensional Array
/samples/2-Dimensional Array/tailmodel.2da,magika,fortran,2-Dimensional Array
/samples/4D/play_with_classes.4dm,magika,javascript,4D
/samples/4D/webArea.4dm,pygments-file-content,gdscript,4D
/samples/4D/generate_project.4dm,pygments-file-content,maple,4D
/samples/4D/play_with_classes.4dm,pygments-file-content,objective-c,4D
/samples/4D/webArea.4dm,guesslang,,4D
/samples/4D/generate_project.4dm,magika,verilog,4D
/samples/4D/test_webServerStart.4dm,magika,erb,4D
/samples/4D/webArea.4dm,pygments-filename,text,4D
/samples/4D/play_with_classes.4dm,cloc,,4D
/samples/ABAP/cl_csv_parser.abap,guesslang,,ABAP
/samples/ABAP/cl_csv_parser.abap,magika,rst,ABAP
/samples/ABAP/cl_csv_parser.abap,pygments-file-content,carbon,ABAP
/samples/ABAP CDS/zcds_monsters_association.ddls.asddls,pygments-filename,text,ABAP CDS
/samples/ABAP CDS/zcds_monsters_parameters.ddls.asddls,magika,sql,ABAP CDS
/samples/ABAP CDS/zcds_monsters_association.ddls.asddls,guesslang,,ABAP CDS
/samples/ABAP CDS/zcds_monsters_association.ddls.asddls,hyperpolyglot,,ABAP CDS
/samples/ABAP CDS/zcds_monsters_association.ddls.asddls,magika,erb,ABAP CDS
/samples/ABNF/toml.abnf,magika,ini,ABNF
/samples/ABNF/toml.abnf,hyperpolyglot,,ABNF
/samples/ABNF/toml.abnf,pygments-file-content,swig,ABNF
/samples/ABNF/toml.abnf,guesslang,,ABNF
/samples/AGS Script/GlobalScript.ash,magika,verilog,AGS Script
/samples/AGS Script/KeyboardMovement_102.ash,magika,c,AGS Script
/samples/AGS Script/GlobalScript.asc,magika,solidity,AGS Script
/samples/AGS Script/GlobalScript.asc,pygments-filename,asc,AGS Script
/samples/AGS Script/GlobalScript.ash,guesslang,,AGS Script
/samples/AGS Script/GlobalScript.ash,cloc,,AGS Script
/samples/AGS Script/GlobalScript.ash,pygments-filename,text,AGS Script
/samples/AIDL/IVoid.aidl,hyperpolyglot,,AIDL
/samples/AIDL/IVoid.aidl,guesslang,,AIDL
/samples/AIDL/IVoid.aidl,pygments-filename,text,AIDL
/samples/AIDL/ExtendableParcelable.aidl,magika,java,AIDL
/samples/AIDL/IVoid.aidl,pygments-file-content,python,AIDL
/samples/AIDL/ExtendableParcelable.aidl,pygments-file-content,carbon,AIDL
/samples/AL/ALIssueList.al,magika,dart,AL
/samples/AL/ALIssueList.al,pygments-filename,text,AL
/samples/AL/ALIssueList.al,guesslang,,AL
/samples/AL/RefreshALIssuesCode.al,magika,verilog,AL
/samples/AL/ALIssue.al,magika,javascript,AL
/samples/AL/ALIssue.al,hyperpolyglot,Perl,AL
/samples/AL/ALIssueList.al,pygments-file-content,carbon,AL
