,ground-truth,cloc,go-enry,hyperpolyglot,linguist,magika,pygments-file-content,pygments-filename
1C Enterprise,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
2-Dimensional Array,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
4D,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
ABAP CDS,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
ABAP,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
ABNF,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
AGS Script,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
AIDL,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
AL,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
AMPL,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
API Blueprint,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
APL,1.0,0.6666666666666666,1.0,1.0,1.0,0.0,0.0,0.6666666666666666
ASL,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
ASN.1,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
ASP.NET,1.0,0.75,1.0,0.0,1.0,0.0,0.0,0.0
ATS,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
ActionScript,1.0,1.0,1.0,0.5,1.0,0.0,0.0,1.0
Adblock Filter List,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Adobe Font Metrics,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Agda,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
Alloy,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
Alpine Abuild,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
Altium Designer,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
AngelScript,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
Ant Build System,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Antlers,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
ApacheConf,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.5
Apex,1.0,0.0,0.6666666666666666,0.6666666666666666,1.0,0.0,0.0,0.0
Apollo Guidance Computer,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
AppleScript,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
AsciiDoc,1.0,0.6666666666666666,1.0,0.0,1.0,0.0,0.0,0.0
AspectJ,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
Assembly,1.0,0.2727272727272727,1.0,0.8181818181818182,1.0,0.0,0.0,0.0
Astro,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Asymptote,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
AutoHotkey,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
Avro IDL,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Awk,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
