filename,tool_configuration,language,ground-truth
/samples/1C Enterprise/test_canCompile.os,magika,javascript,1C Enterprise
/samples/1C Enterprise/Catalog.ИсходящиеПисьма.Form.ФормаЭлемента.Form.Module.bsl,cloc,,1C Enterprise
/samples/1C Enterprise/Catalog.ИсходящиеПисьма.Form.ФормаЭлемента.Form.Module.bsl,magika,dm,1C Enterprise
/samples/1C Enterprise/CommonModule.ОбменМобильныеОбщее.Module.bsl,magika,c,1C Enterprise
/samples/1C Enterprise/test_canCompile.os,pygments-filename,text,1C Enterprise
/samples/2-Dimensional Array/appearance.2da,hyperpolyglot,,2-Dimensional Array
/samples/2-Dimensional Array/appearance.2da,pygments-filename,text,2-Dimensional Array
/samples/2-Dimensional Array/tailmodel.2da,magika,csv,2-Dimensional Array
/samples/2-Dimensional Array/appearance.2da,magika,proteindb,2-Dimensional Array
/samples/4D/webArea.4dm,pygments-file-content,gdscript,4D
/samples/4D/webArea.4dm,magika,verilog,4D
/samples/4D/test_webServerStart.4dm,magika,powershell,4D
/samples/4D/test_webServerStart.4dm,pygments-filename,text,4D
/samples/4D/generate_project.4dm,magika,prolog,4D
/samples/4D/play_with_classes.4dm,pygments-file-content,objective-c,4D
/samples/4D/generate_project.4dm,pygments-file-content,maple,4D
/samples/4D/test_webServerStart.4dm,cloc,,4D
/samples/ABAP/cl_csv_parser.abap,pygments-file-content,carbon,ABAP
/samples/ABAP/cl_csv_parser.abap,magika,c,ABAP
/samples/ABAP CDS/zcds_monsters_association.ddls.asddls,magika,bib,ABAP CDS
/samples/ABAP CDS/zcds_monsters_parameters.ddls.asddls,hyperpolyglot,,ABAP CDS
/samples/ABAP CDS/zcds_monsters_parameters.ddls.asddls,magika,asm,ABAP CDS
/samples/ABAP CDS/zcds_monsters_parameters.ddls.asddls,pygments-filename,text,ABAP CDS
/samples/ABNF/toml.abnf,hyperpolyglot,,ABNF
/samples/ABNF/toml.abnf,pygments-file-content,swig,ABNF
/samples/ABNF/toml.abnf,magika,ini,ABNF
/samples/AGS Script/KeyboardMovement_102.ash,magika,c,AGS Script
/samples/AGS Script/KeyboardMovement_102.ash,pygments-filename,text,AGS Script
/samples/AGS Script/GlobalScript.asc,pygments-filename,asc,AGS Script
/samples/AGS Script/KeyboardMovement_102.asc,cloc,,AGS Script
/samples/AGS Script/GlobalScript.ash,magika,verilog,AGS Script
/samples/AGS Script/GlobalScript.asc,magika,javascript,AGS Script
/samples/AIDL/IVoid.aidl,pygments-filename,text,AIDL
/samples/AIDL/ExtendableParcelable.aidl,pygments-file-content,carbon,AIDL
/samples/AIDL/IVoid.aidl,hyperpolyglot,,AIDL
/samples/AIDL/IVoid.aidl,pygments-file-content,python,AIDL
/samples/AIDL/IVoid.aidl,magika,javascript,AIDL
/samples/AIDL/ExtendableParcelable.aidl,magika,java,AIDL
/samples/AL/RefreshALIssuesCode.al,pygments-file-content,gdscript,AL
/samples/AL/RefreshALIssuesCode.al,hyperpolyglot,Perl,AL
/samples/AL/ALIssueList.al,pygments-file-content,carbon,AL
/samples/AL/ALIssueList.al,magika,m4,AL
/samples/AL/RefreshALIssuesCode.al,magika,pascal,AL
/samples/AL/RefreshALIssuesCode.al,pygments-filename,text,AL
/samples/AMPL/CT2.mod,magika,c,AMPL
/samples/AMPL/CT2.mod,pygments-filename,modula2,AMPL
/samples/AMPL/toy.ampl,pygments-filename,text,AMPL
/samples/AMPL/CT2.mod,pygments-file-content,tsql,AMPL
/samples/AMPL/toy.ampl,magika,markdown,AMPL
/samples/AMPL/CT2.mod,cloc,,AMPL
/samples/API Blueprint/actions.apib,cloc,,API Blueprint
/samples/API Blueprint/attributes.apib,magika,markdown,API Blueprint
/samples/API Blueprint/attributes.apib,pygments-filename,text,API Blueprint
/samples/APL/DeepakChopra.apl,magika,txt,APL
/samples/APL/hashbang,magika,shell,APL
/samples/APL/hashbang,pygments-filename,text,APL
/samples/APL/UT.dyalog,pygments-file-content,gdscript,APL
