filename,cloc,go-enry,hyperpolyglot,linguist,magika,pygments-file-content,pygments-filename
1C Enterprise,1.1808137038800002,0.15189731428000003,0.07114102672,2.37839698148,0.36871205876,1.33925747432,0.7805669454800002
2-Dimensional Array,0.39838798396,0.04848794076000001,0.024697501240000003,0.79058149016,0.12329430292000002,0.44669637244000004,0.25994256016000006
4D,0.77508882292,0.09279282352000001,0.046463546480000006,1.57648500432,0.25346952484,0.94584808988,0.5211117403200001
ABAP,0.19681617948000002,0.02318955388,0.01103530812,0.39527478858,0.06150025096,0.23920436922000002,0.13036546758000003
ABAP CDS,0.38481720096000005,0.048254490760000004,0.02408911424,0.7935371691599999,0.11825670092,0.44273132544000005,0.26101791216000003
ABNF,0.19902841548000003,0.022023019880000005,0.01207185912,0.39908660058,0.061732701960000004,0.24175520322000002,0.13067966558000002
AGS Script,0.78043565392,0.10469691052000002,0.046046929480000005,1.62366161232,0.24683456984000002,0.8913002398800001,0.5207762263200001
AIDL,0.39078168496,0.04480160376,0.02222940924,0.79330889516,0.13350316692000003,0.47124899844,0.25880202716000006
AL,0.5874270394400001,0.06826058764000001,0.03522208936,1.21909035474,0.18509935988,0.6970791846600001,0.3899317147400001
AMPL,0.39194817696000006,0.05093999376000001,0.022567232240000002,0.98792021216,0.11943632092,0.49856721344000005,0.26121604016000005
API Blueprint,0.57326976644,0.06945406164000001,0.03409245336,1.18219480474,0.18160417388,0.6674070996600001,0.3893300807400001
APL,0.58006665444,0.07226441264000001,0.03357133636,1.18102963574,0.18249639188,0.70494852666,0.3894283257400001
ASL,0.38497570896,0.04835035176000001,0.02451206924,0.79284574316,0.11893943092,0.46559501044000007,0.26067637616000006
ASN.1,0.19168649048000003,0.02247536388,0.012110376120000002,0.39058056258,0.06289368296,0.23496017722,0.12954993058000003
ASP.NET,0.7860720359200001,0.09960195552000001,0.04811543048,1.58720733432,0.25010445884,0.98485607888,0.5569985793200001
ATS,1.77444611932,0.22529720292000002,0.10608226308,3.56596283922,0.5721178436400001,2.1467206719800003,1.1703341992200003
ActionScript,0.78826222392,0.10036387052000001,0.04922382748,1.64627275532,0.24631980784000002,0.97236368888,0.52180083732
Adblock Filter List,0.9803575074,0.12684308840000003,0.0572780156,2.0698471199,0.31327278080000004,1.1135896391,0.6452916699000001
Adobe Font Metrics,0.59086625544,0.06926339964000001,0.03628162036,1.18007588174,0.18529270588000002,0.66697306866,0.3905824667400001
Agda,0.19810780448,0.023871692880000003,0.01159153512,0.39242774958,0.057290013960000004,0.23199162322000003,0.13156340258000002
Alloy,0.58727255544,0.07471052864000001,0.033842438360000004,1.18615613774,0.17908697388,0.7326306596600001,0.3949818127400001
Alpine Abuild,0.19596362648,0.022811150880000002,0.012269588120000001,0.39582962058,0.06150065296,0.22471548722,0.12857358458
Altium Designer,0.7778323949200001,0.10773693852,0.04565968848,1.59250911332,0.24454189884,0.88780453288,0.5160824183200001
AngelScript,0.39315467196000004,0.05122251976000001,0.022529778240000003,1.20498038016,0.11866278492000001,0.5061772694400001,0.2612905911600001
Ant Build System,0.19081988548,0.025342761880000002,0.01080665012,0.39610557058,0.05791771396,0.22646811922,0.13563656658000003
Antlers,0.9566024084000001,0.11671097440000001,0.057365082600000006,1.9524331169,0.3057932068,1.1583635931,0.6746136739000002
ApacheConf,0.78118086192,0.09446138852000001,0.04507398548,1.7731350483200001,0.24479167184,0.9944062568800001,0.52780975232
Apex,1.7558498173200001,0.23697331992000004,0.10091828208,5.40337247522,0.5672018146400001,2.37519542998,1.1736595542200001
Apollo Guidance Computer,0.18930892448,0.023716815880000002,0.011367678120000002,0.39808127358,0.06048382396,0.22176910122000001,0.13016388858000003
AppleScript,1.36871024036,0.16550595316000002,0.08095859784000001,2.78042386906,0.42464354172,1.57299565354,0.9252147550600001
AsciiDoc,0.59543685544,0.07740207864000001,0.03514859536000001,1.18811067374,0.18346582988000001,0.7440377826600001,0.38883871274000004
AspectJ,0.38951998696,0.04746733076000001,0.02453723724,0.78115773316,0.12381505092,0.46218100844,0.26310483516000005
Assembly,2.20128859228,0.29681774968,0.12778235832,5.452015368380001,0.6941957575600001,2.67805636742,1.4447631523800002
Astro,0.18922508648000003,0.023279043880000003,0.01121182712,0.39655864258,0.062122930959999996,0.23188193322,0.13049461158000003
Asymptote,0.38903440396,0.04886498276000001,0.02284826624,0.82898960916,0.11405011592,0.46388893644,0.26272893516000007
AutoHotkey,0.19606846948,0.026126655880000002,0.01112615012,0.39366951558,0.06045314796,0.22130703222,0.13125269658000002
Avro IDL,0.19551869548,0.025222786880000004,0.01123131712,0.39883076358,0.06993225796000001,0.22024629822000003,0.13177234458000003
Awk,0.18941501948,0.024909401880000005,0.010741083120000001,0.39102407358,0.05689318696,0.23597710122,0.13268575858
B4X,0.5880213844400001,0.06901942264000001,0.03283717436,1.24444928774,0.18218668088,0.7270923356600001,0.42320126174000006
BASIC,0.7849606559200001,0.10020667252000001,0.046997747480000004,1.6527119673200001,0.24400088884,0.9824610838800001,0.54395412032
BQN,0.39009257996,0.04734705176000001,0.02474065824,0.78640248316,0.12316956592,0.52908657944,0.26027655016000006
Ballerina,0.9817065874,0.12428933840000002,0.0574617886,1.9722143289,0.2952051798,1.1488188931,0.6493699289000001
Beef,0.59625703144,0.10340997664000001,0.03593982236,1.2525624607399999,0.18914700088000003,0.8106233996600001,0.3902562607400001
Befunge,0.9792777674,0.1264143044,0.0588958756,2.8943832019,0.3081822368,1.3874288841000002,0.6537108839000001
Berry,0.38782817696000005,0.04764301776,0.022455619240000002,0.7998216311599999,0.12116084992000001,0.47689222344000004,0.26073239116
BibTeX,0.38869790296000006,0.04573588776000001,0.02415542624,0.78287018616,0.11871665892,0.60334970744,0.26246437616000007
Bicep,0.58652456844,0.07241881764000001,0.03430546536,1.17803607874,0.18427077788000001,0.71448912866,0.38750111174000007
Bikeshed,0.39213345596000004,0.09667589976,0.02276341024,0.85134450316,0.11989152192,1.08271249444,0.25936983716000006
BitBake,1.17009207188,0.15778439828000002,0.06691596172,2.81094394148,0.36628263976000003,1.43406317132,0.7830339374800002
Blade,0.3858679889600001,0.04679554176,0.021538690240000002,0.78661083716,0.12347289192000001,0.40062093744000005,0.25986964316000005
BlitzBasic,0.58161812044,0.06838092064000001,0.035397807360000005,1.23024751474,0.19030393988000002,0.69446411166,0.3966470067400001
BlitzMax,0.20029812048,0.023914610880000003,0.01195326712,0.39386074158,0.06089043896,0.23075248422000003,0.13199737658000002
Bluespec,0.39167868396000005,0.047109345760000004,0.02399059524,0.7956443681600001,0.12286779292,0.49525866244000005,0.26120217416
Bluespec BH,0.78582548592,0.11572446852000001,0.045794647480000006,1.65893801932,0.24479674284000003,0.88816779588,0.5219546373200001
Boogie,0.58209421344,0.07210974364000002,0.033629798360000004,1.18817832874,0.18283226588,0.75805941866,0.3911949827400001
Brainfuck,0.9947497864000001,0.13879097240000002,0.05834350160000001,2.2422559539,0.3078496358,0.9271469571000001,0.6534191509000001
