,ground-truth,linguist
1C Enterprise,6,6.0
2-Dimensional Array,2,2.0
4D,4,4.0
ABAP CDS,2,2.0
ABAP,1,1.0
ABNF,1,1.0
AGS Script,4,4.0
AIDL,2,2.0
AL,3,3.0
AMPL,2,2.0
API Blueprint,3,3.0
APL,3,3.0
ASL,2,2.0
ASN.1,1,1.0
ASP.NET,4,4.0
ATS,9,9.0
ActionScript,4,4.0
Adblock Filter List,5,5.0
Adobe Font Metrics,3,3.0
Agda,1,1.0
Alloy,3,3.0
Alpine Abuild,1,1.0
Altium Designer,4,4.0
AngelScript,2,2.0
Ant Build System,1,1.0
Antlers,5,5.0
ApacheConf,4,4.0
Apex,9,9.0
Apollo Guidance Computer,1,1.0
AppleScript,7,7.0
AsciiDoc,3,3.0
AspectJ,2,2.0
Assembly,11,11.0
Astro,1,1.0
Asymptote,2,2.0
AutoHotkey,1,1.0
Avro IDL,1,1.0
Awk,1,1.0
B4X,3,3.0
BASIC,4,4.0
BQN,2,2.0
Ballerina,5,5.0
Beef,3,3.0
Befunge,5,5.0
Berry,2,2.0
BibTeX,2,2.0
Bicep,3,3.0
Bikeshed,2,2.0
BitBake,6,6.0
Blade,2,2.0
BlitzBasic,3,3.0
BlitzMax,1,1.0
Bluespec BH,4,4.0
Bluespec,2,2.0
Boogie,3,3.0
Brainfuck,5,5.0
BrighterScript,3,3.0
Brightscript,1,1.0
Browserslist,2,2.0
C#,9,9.0
C++,55,55.0
C,58,58.0
CAP CDS,5,5.0
CIL,2,2.0
CLIPS,2,2.0
CMake,7,7.0
COBOL,4,4.0
CODEOWNERS,1,1.0
CSON,4,4.0
CSS,2,2.0
CSV,1,1.0
CUE,2,2.0
CWeb,2,2.0
Cabal Config,4,4.0
Caddyfile,2,2.0
Cadence,6,6.0
Cairo Zero,5,5.0
Cairo,5,5.0
CameLIGO,1,1.0
Carbon,2,2.0
CartoCSS,1,1.0
Ceylon,1,1.0
Chapel,5,5.0
Charity,1,1.0
Checksums,18,18.0
Circom,3,3.0
Cirru,14,14.0
Clarion,4,4.0
Clarity,3,3.0
Classic ASP,2,2.0
Clean,9,9.0
Click,2,2.0
Clojure,10,10.0
Closure Templates,1,1.0
Cloud Firestore Security Rules,1,1.0
CoNLL-U,3,3.0
CodeQL,6,6.0
CoffeeScript,10,10.0
ColdFusion CFC,2,2.0
ColdFusion,1,1.0
Common Lisp,9,9.0
Common Workflow Language,1,1.0
Component Pascal,2,2.0
Cool,2,2.0
Coq,13,13.0
Creole,1,1.0
Crystal,3,3.0
Csound Document,3,3.0
Csound Score,3,3.0
Csound,3,3.0
Cuda,2,2.0
Cue Sheet,2,2.0
Curry,2,2.0
Cycript,1,1.0
Cylc,3,3.0
Cypher,4,4.0
D,9,9.0
D2,2,2.0
DIGITAL Command Language,4,4.0
DM,1,1.0
DNS Zone,2,2.0
DTrace,3,3.0
Dafny,2,2.0
Dart,1,1.0
DataWeave,5,5.0
Debian Package Control File,2,2.0
DenizenScript,2,2.0
Dhall,2,2.0
Diff,1,1.0
DirectX 3D File,1,1.0
Dockerfile,2,2.0
Dogescript,1,1.0
Dotenv,14,14.0
Dune,1,1.0
E-mail,1,1.0
E,7,7.0
EBNF,4,4.0
ECL,1,1.0
ECLiPSe,1,1.0
EJS,5,5.0
EQ,3,3.0
Eagle,2,2.0
Earthly,1,1.0
Easybuild,1,1.0
Ecmarkup,1,1.0
Edge,1,1.0
EdgeQL,2,2.0
EditorConfig,3,3.0
Edje Data Collection,1,1.0
Eiffel,7,7.0
Elixir,6,6.0
Elm,3,3.0
Elvish,1,1.0
Emacs Lisp,11,11.0
EmberScript,1,1.0
Erlang,16,16.0
Euphoria,10,10.0
F#,8,8.0
FIGlet Font,1,1.0
FIRRTL,2,2.0
FLUX,4,4.0
Fantom,2,2.0
Faust,2,2.0
Fennel,2,2.0
Filebench WML,1,1.0
Filterscript,2,2.0
Fluent,5,5.0
Formatted,3,3.0
Forth,16,16.0
Fortran,5,5.0
FreeBASIC,4,4.0
FreeMarker,2,2.0
Frege,4,4.0
Fstar,3,0.0
Futhark,1,1.0
G-code,3,3.0
GAML,6,6.0
GAMS,1,1.0
GAP,9,9.0
GCC Machine Description,1,1.0
GDB,2,2.0
GDScript,4,4.0
GEDCOM,1,1.0
GLSL,20,20.0
GN,11,11.0
GSC,6,6.0
Game Maker Language,11,11.0
Gemfile.lock,1,1.0
Gemini,1,1.0
Genero 4gl,3,3.0
Genero per,1,1.0
Genie,4,4.0
Gerber Image,18,18.0
Gherkin,2,2.0
Git Attributes,1,1.0
Git Config,3,3.0
Git Revision List,1,1.0
Gleam,2,2.0
Glimmer JS,2,2.0
Glimmer TS,2,2.0
Glyph Bitmap Distribution Format,1,1.0
Gnuplot,8,8.0
Go Checksums,2,2.0
Go Module,1,1.0
Go Workspace,1,1.0
Go,4,4.0
Godot Resource,5,5.0
Golo,27,27.0
Gosu,5,5.0
Grace,2,2.0
Gradle Kotlin DSL,1,1.0
Gradle,2,2.0
Grammatical Framework,41,41.0
Graph Modeling Language,3,3.0
GraphQL,4,4.0
Graphviz (DOT),2,2.0
Groovy Server Pages,4,4.0
