filename,tool_configuration,language,ground-truth
/samples/Fstar/Hacl.HKDF.fst,linguist,F*,Fstar
/samples/Fstar/FStar.DependentMap.fsti,linguist,F*,Fstar
/samples/Fstar/Hacl.Spec.Bignum.Fmul.fst,linguist,F*,Fstar
/samples/omnetpp-msg/TcpConnection.msg,linguist,OMNeT++ MSG,omnetpp-msg
/samples/omnetpp-msg/TcpConnectionState.msg,linguist,OMNeT++ MSG,omnetpp-msg
/samples/omnetpp-msg/GptpPacket.msg,linguist,OMNeT++ MSG,omnetpp-msg
/samples/omnetpp-ned/TsnNetworkBase.ned,linguist,OMNeT++ NED,omnetpp-ned
/samples/omnetpp-ned/IWirelessInterface.ned,linguist,OMNeT++ NED,omnetpp-ned
/samples/omnetpp-ned/Ieee80211Interface.ned,linguist,OMNeT++ NED,omnetpp-ned
/samples/RenPy/example.rpy,linguist,Ren'Py,RenPy
