filename,tool_configuration,language,ground-truth
/samples/STAR/schedule.star,starcoder2-3b,nPython,STAR
/samples/STAR/symop.star,starcoder2-3b,Python,STAR
/samples/STAR/schedule_pipeline.star,starcoder2-3b,"""""""",STAR
/samples/Sway/generic_traits.sw,starcoder2-3b,Python,Sway
/samples/Sway/arrays.sw,starcoder2-3b,Rust,Sway
/samples/Sway/wallet.sw,starcoder2-3b,Python,Sway
/samples/Sway/supertraits.sw,starcoder2-3b,Solidity,Sway
/samples/Sway/struct_fns.sw,starcoder2-3b,Python,Sway
/samples/Lasso/knop.las,starcoder2-3b,Python,Lasso
/samples/Lasso/json.lasso9,starcoder2-3b,n,Lasso
/samples/Lasso/json.lasso,starcoder2-3b,C++,Lasso
/samples/Zephir/Cblock.zep,starcoder2-3b,C++,Zephir
/samples/Zephir/Router.zep,starcoder2-3b,Python,Zephir
/samples/PDDL/problem_4d_5p.pddl,starcoder2-3b,Python,PDDL
/samples/PDDL/domain_testproblem.pddl,starcoder2-3b,Python,PDDL
/samples/PDDL/pathfinding.pddl,starcoder2-3b,Python,PDDL
/samples/Pyret/pyret.arr,starcoder2-3b,Python,Pyret
/samples/edn/bigger-than-pluto.edn,starcoder2-3b,Clojure,edn
/samples/TextGrid/words.TextGrid,starcoder2-3b,"""""""",TextGrid
/samples/TextGrid/part_of_speech.TextGrid,starcoder2-3b,Python,TextGrid
/samples/TextGrid/three_tiers.TextGrid,starcoder2-3b,ooTextFile,TextGrid
/samples/Frege/Concurrent.fr,starcoder2-3b,Python,Frege
/samples/Frege/SwingExamples.fr,starcoder2-3b,Java,Frege
/samples/Frege/Sudoku.fr,starcoder2-3b,Python,Frege
/samples/Frege/CommandLineClock.fr,starcoder2-3b,Java,Frege
/samples/Lark/lark.lark,starcoder2-3b,Python,Lark
/samples/Lark/ebl_atf.lark,starcoder2-3b,start,Lark
/samples/Lark/ebl_atf_common.lark,starcoder2-3b,Python,Lark
/samples/Apollo Guidance Computer/BURN_BABY_BURN--MASTER_IGNITION_ROUTINE.agc,starcoder2-3b,Python,Apollo Guidance Computer
/samples/RouterOS Script/config.rsc,starcoder2-3b,Python,RouterOS Script
/samples/RouterOS Script/vlans.rsc,starcoder2-3b,Python,RouterOS Script
/samples/RouterOS Script/console-dump.rsc,starcoder2-3b,Python,RouterOS Script
/samples/RouterOS Script/BackupAndUpdate.rsc,starcoder2-3b,Python,RouterOS Script
/samples/Closure Templates/example.soy,starcoder2-3b,namespace,Closure Templates
/samples/HCL/main.tf,starcoder2-3b,Python,HCL
/samples/HCL/terraform.tfvars,starcoder2-3b,Python,HCL
/samples/HCL/example.nomad,starcoder2-3b,Python,HCL
/samples/HCL/main.workflow,starcoder2-3b,name,HCL
/samples/HCL/example.hcl,starcoder2-3b,Python,HCL
/samples/HCL/example.tf,starcoder2-3b,Python,HCL
/samples/Fstar/Hacl.HKDF.fst,starcoder2-3b,C++,Fstar
/samples/Fstar/Hacl.Spec.Bignum.Fmul.fst,starcoder2-3b,Python,Fstar
/samples/Fstar/FStar.DependentMap.fsti,starcoder2-3b,Python,Fstar
/samples/Asymptote/kappa-sawteeth.asy,starcoder2-3b,Python,Asymptote
/samples/Asymptote/figarc4_3D.asy,starcoder2-3b,Python,Asymptote
/samples/Gnuplot/surface1.17.gnu,starcoder2-3b,Python,Gnuplot
/samples/Gnuplot/histograms.2.gnu,starcoder2-3b,Python,Gnuplot
/samples/Gnuplot/world2.1.gnu,starcoder2-3b,Python,Gnuplot
/samples/Gnuplot/defense_plotter.p,starcoder2-3b,Python,Gnuplot
/samples/Gnuplot/rates.gp,starcoder2-3b,Python,Gnuplot
/samples/Gnuplot/defense_plotter.plt,starcoder2-3b,Python,Gnuplot
/samples/Gnuplot/dashcolor.1.gnu,starcoder2-3b,Python,Gnuplot
/samples/Gnuplot/surface1.16.gnu,starcoder2-3b,Python,Gnuplot
/samples/GAP/vspc.gi,starcoder2-3b,C++,GAP
/samples/GAP/PackageInfo.g,starcoder2-3b,#############################################################################,GAP
/samples/GAP/vspc.gd,starcoder2-3b,#############################################################################,GAP
/samples/GAP/example.gi,starcoder2-3b,#############################################################################,GAP
/samples/GAP/Magic.gd,starcoder2-3b,#############################################################################,GAP
/samples/PureBasic/Memory.pbi,starcoder2-3b,C++,PureBasic
/samples/PureBasic/Example_Sine.pb,starcoder2-3b,C++,PureBasic
/samples/Regular Expression/url.regex,starcoder2-3b,Python,Regular Expression
/samples/Regular Expression/modeline-emacs.regexp,starcoder2-3b,n,Regular Expression
/samples/Regular Expression/modeline-vim.regexp,starcoder2-3b,Python,Regular Expression
/samples/Regular Expression/ordinal.regex,starcoder2-3b,b,Regular Expression
