filename,tool_configuration,language,ground-truth
/samples/1C Enterprise/Document.РасходТовара.ObjectModule.bsl,starcoder2-3B-2000end,C++,1C Enterprise
/samples/1C Enterprise/ci_before_script.os,starcoder2-3B-2000mid,OScript,1C Enterprise
/samples/1C Enterprise/Catalog.Товары.Command.ПечатьПрайсЛиста.CommandModule.bsl,starcoder2-3B-2000mid,Python,1C Enterprise
/samples/1C Enterprise/ci_before_script.os,guesslang,,1C Enterprise
/samples/1C Enterprise/CommonModule.ОбменМобильныеОбщее.Module.bsl,magika,c,1C Enterprise
/samples/1C Enterprise/ci_before_script.os,pygments-filename,text,1C Enterprise
/samples/1C Enterprise/ci_before_script.os,magika,javascript,1C Enterprise
/samples/1C Enterprise/Document.РасходТовара.ObjectModule.bsl,magika,lisp,1C Enterprise
/samples/1C Enterprise/Document.РасходТовара.ObjectModule.bsl,cloc,,1C Enterprise
/samples/2-Dimensional Array/tailmodel.2da,guesslang,,2-Dimensional Array
/samples/2-Dimensional Array/appearance.2da,magika,python,2-Dimensional Array
/samples/2-Dimensional Array/tailmodel.2da,magika,fortran,2-Dimensional Array
/samples/2-Dimensional Array/tailmodel.2da,pygments-filename,text,2-Dimensional Array
/samples/2-Dimensional Array/appearance.2da,starcoder2-3B-2000mid,Python,2-Dimensional Array
/samples/2-Dimensional Array/tailmodel.2da,hyperpolyglot,,2-Dimensional Array
/samples/4D/webArea.4dm,pygments-filename,text,4D
/samples/4D/play_with_classes.4dm,pygments-file-content,objective-c,4D
/samples/4D/webArea.4dm,pygments-file-content,gdscript,4D
/samples/4D/generate_project.4dm,pygments-file-content,maple,4D
/samples/4D/play_with_classes.4dm,starcoder2-3B-2000mid,C++,4D
/samples/4D/webArea.4dm,starcoder2-3B-2000mid,JavaScript,4D
/samples/4D/generate_project.4dm,magika,verilog,4D
/samples/4D/generate_project.4dm,starcoder2-3B-2000mid,Python,4D
/samples/4D/play_with_classes.4dm,cloc,,4D
/samples/4D/play_with_classes.4dm,magika,javascript,4D
/samples/4D/webArea.4dm,guesslang,,4D
/samples/4D/test_webServerStart.4dm,magika,erb,4D
/samples/ABAP/cl_csv_parser.abap,guesslang,,ABAP
/samples/ABAP/cl_csv_parser.abap,pygments-file-content,carbon,ABAP
