filename,tool_configuration,language,ground-truth
/samples/1C Enterprise/Catalog.ИсходящиеПисьма.Form.ФормаЭлемента.Form.Module.bsl,starcoder2,if,1C Enterprise
/samples/1C Enterprise/Catalog.ИсходящиеПисьма.Form.ФормаЭлемента.Form.Module.bsl,pygments-file-content,text,1C Enterprise
/samples/1C Enterprise/CommonModule.ОбменМобильныеОбщее.Module.bsl,magika,c,1C Enterprise
/samples/1C Enterprise/CommonModule.ОбменМобильныеОбщее.Module.bsl,starcoder2,Detect,1C Enterprise
/samples/1C Enterprise/Catalog.ИсходящиеПисьма.Form.ФормаЭлемента.Form.Module.bsl,magika,dm,1C Enterprise
/samples/1C Enterprise/test_canCompile.os,magika,javascript,1C Enterprise
/samples/1C Enterprise/ci_before_script.os,starcoder2,Python,1C Enterprise
/samples/1C Enterprise/Document.РасходТовара.ObjectModule.bsl,starcoder2,ru,1C Enterprise
/samples/1C Enterprise/Catalog.ИсходящиеПисьма.Form.ФормаЭлемента.Form.Module.bsl,cloc,,1C Enterprise
/samples/2-Dimensional Array/appearance.2da,magika,proteindb,2-Dimensional Array
/samples/2-Dimensional Array/tailmodel.2da,magika,csv,2-Dimensional Array
/samples/2-Dimensional Array/appearance.2da,pygments-file-content,text,2-Dimensional Array
/samples/2-Dimensional Array/appearance.2da,starcoder2,Python,2-Dimensional Array
/samples/2-Dimensional Array/appearance.2da,cloc,,2-Dimensional Array
/samples/4D/play_with_classes.4dm,starcoder2,C1509,4D
/samples/4D/generate_project.4dm,pygments-file-content,maple,4D
/samples/4D/test_webServerStart.4dm,magika,powershell,4D
/samples/4D/test_webServerStart.4dm,cloc,,4D
/samples/4D/play_with_classes.4dm,pygments-file-content,objective-c,4D
/samples/4D/webArea.4dm,starcoder2,Python,4D
/samples/4D/test_webServerStart.4dm,starcoder2,C++,4D
/samples/4D/webArea.4dm,magika,verilog,4D
/samples/4D/webArea.4dm,pygments-file-content,gdscript,4D
/samples/4D/generate_project.4dm,magika,prolog,4D
/samples/4D/test_webServerStart.4dm,pygments-filename,text,4D
/samples/ABAP/cl_csv_parser.abap,magika,c,ABAP
/samples/ABAP/cl_csv_parser.abap,pygments-file-content,carbon,ABAP
/samples/ABAP CDS/zcds_monsters_association.ddls.asddls,starcoder2,Abap,ABAP CDS
/samples/ABAP CDS/zcds_monsters_parameters.ddls.asddls,magika,asm,ABAP CDS
/samples/ABAP CDS/zcds_monsters_parameters.ddls.asddls,cloc,,ABAP CDS
/samples/ABAP CDS/zcds_monsters_parameters.ddls.asddls,pygments-file-content,text,ABAP CDS
/samples/ABAP CDS/zcds_monsters_association.ddls.asddls,magika,bib,ABAP CDS
/samples/ABAP CDS/zcds_monsters_parameters.ddls.asddls,starcoder2,ABAP,ABAP CDS
/samples/ABNF/toml.abnf,starcoder2,Python,ABNF
/samples/ABNF/toml.abnf,cloc,,ABNF
/samples/ABNF/toml.abnf,pygments-file-content,swig,ABNF
/samples/ABNF/toml.abnf,magika,ini,ABNF
/samples/AGS Script/GlobalScript.asc,pygments-filename,asc,AGS Script
/samples/AGS Script/GlobalScript.asc,magika,javascript,AGS Script
/samples/AGS Script/GlobalScript.ash,magika,verilog,AGS Script
/samples/AGS Script/KeyboardMovement_102.ash,magika,c,AGS Script
/samples/AGS Script/KeyboardMovement_102.ash,pygments-file-content,text,AGS Script
/samples/AGS Script/GlobalScript.asc,starcoder2,Python,AGS Script
/samples/AGS Script/KeyboardMovement_102.asc,starcoder2,Detect,AGS Script
/samples/AGS Script/KeyboardMovement_102.asc,cloc,,AGS Script
/samples/AIDL/ExtendableParcelable.aidl,magika,java,AIDL
/samples/AIDL/IVoid.aidl,pygments-file-content,python,AIDL
/samples/AIDL/ExtendableParcelable.aidl,pygments-file-content,carbon,AIDL
/samples/AIDL/IVoid.aidl,magika,javascript,AIDL
/samples/AIDL/ExtendableParcelable.aidl,starcoder2,C++,AIDL
/samples/AIDL/IVoid.aidl,starcoder2,Python,AIDL
/samples/AIDL/ExtendableParcelable.aidl,cloc,,AIDL
/samples/AIDL/IVoid.aidl,pygments-filename,text,AIDL
/samples/AL/ALIssueList.al,pygments-file-content,carbon,AL
/samples/AL/ALIssue.al,starcoder2,C++,AL
/samples/AL/RefreshALIssuesCode.al,starcoder2,name,AL
/samples/AL/ALIssueList.al,starcoder2,C#,AL
/samples/AL/RefreshALIssuesCode.al,pygments-file-content,gdscript,AL
/samples/AL/RefreshALIssuesCode.al,pygments-filename,text,AL
/samples/AL/ALIssueList.al,magika,m4,AL
/samples/AL/RefreshALIssuesCode.al,magika,pascal,AL
/samples/AL/RefreshALIssuesCode.al,cloc,Perl,AL
/samples/AMPL/CT2.mod,pygments-file-content,tsql,AMPL
/samples/AMPL/CT2.mod,cloc,,AMPL
/samples/AMPL/toy.ampl,starcoder2,Python,AMPL
/samples/AMPL/CT2.mod,magika,c,AMPL
/samples/AMPL/toy.ampl,pygments-filename,text,AMPL
/samples/AMPL/CT2.mod,pygments-filename,modula2,AMPL
/samples/AMPL/toy.ampl,magika,markdown,AMPL
/samples/API Blueprint/actions.apib,cloc,,API Blueprint
/samples/API Blueprint/actions.apib,pygments-file-content,text,API Blueprint
/samples/API Blueprint/attributes.apib,magika,markdown,API Blueprint
/samples/API Blueprint/attributes.apib,starcoder2,+,API Blueprint
/samples/API Blueprint/simple.apib,starcoder2,Python,API Blueprint
/samples/API Blueprint/actions.apib,starcoder2,FORMAT,API Blueprint
/samples/APL/hashbang,magika,shell,APL
/samples/APL/UT.dyalog,magika,sql,APL
/samples/APL/DeepakChopra.apl,magika,txt,APL
/samples/APL/UT.dyalog,starcoder2,Detect,APL
/samples/APL/hashbang,pygments-file-content,text,APL
/samples/APL/UT.dyalog,pygments-file-content,gdscript,APL
/samples/APL/DeepakChopra.apl,starcoder2,Python,APL
/samples/APL/hashbang,cloc,,APL
/samples/ASL/example.dsl,magika,autohotkey,ASL
/samples/ASL/example.asl,magika,c,ASL
/samples/ASL/example.asl,starcoder2,C++,ASL
/samples/ASL/example.asl,cloc,,ASL
/samples/ASL/example.dsl,pygments-filename,text,ASL
/samples/ASL/example.asl,pygments-file-content,carbon,ASL
/samples/ASN.1/example.asn,pygments-filename,text,ASN.1
/samples/ASN.1/example.asn,magika,prolog,ASN.1
/samples/ASN.1/example.asn,pygments-file-content,maple,ASN.1
/samples/ASN.1/example.asn,cloc,,ASN.1
/samples/ASN.1/example.asn,starcoder2,Python,ASN.1
/samples/ASP.NET/Global.asax,pygments-file-content,erb,ASP.NET
/samples/ASP.NET/Login.aspx,starcoder2,Detect,ASP.NET
/samples/ASP.NET/Global.asax,starcoder2,Languages,ASP.NET
/samples/ASP.NET/OpenAuthProviders.ascx,starcoder2,Python,ASP.NET
/samples/ASP.NET/OpenAuthProviders.ascx,pygments-filename,aspx-vb,ASP.NET
/samples/ASP.NET/EchoSocket.ashx,cloc,ASP,ASP.NET
/samples/ASP.NET/OpenAuthProviders.ascx,magika,asp,ASP.NET
/samples/ASP.NET/OpenAuthProviders.ascx,pygments-file-content,xml+ruby,ASP.NET
/samples/ASP.NET/EchoSocket.ashx,starcoder2,HTTP,ASP.NET
/samples/ATS/DiningPhil2_fork.dats,pygments-file-content,gdscript,ATS
/samples/ATS/DiningPhil2.dats,starcoder2,Detect,ATS
/samples/ATS/YonedaLemma.dats,starcoder2,r,ATS
/samples/ATS/csv_parse.hats,magika,ocaml,ATS
/samples/ATS/DiningPhil2.sats,starcoder2,Haxe,ATS
/samples/ATS/CoYonedaLemma.dats,pygments-file-content,ssp,ATS
/samples/ATS/intinf_vt.dats,pygments-file-content,tsql,ATS
/samples/ATS/DiningPhil2_thread.dats,starcoder2,C++,ATS
/samples/ATS/intinf_vt.dats,starcoder2,C,ATS
/samples/ATS/basis_ssntype.sats,pygments-filename,text,ATS
/samples/ATS/YonedaLemma.dats,cloc,,ATS
/samples/ATS/basis_ssntype.sats,magika,verilog,ATS
/samples/ATS/csv_parse.hats,starcoder2,(*,ATS
/samples/ATS/DiningPhil2_fork.dats,starcoder2,Hats,ATS
/samples/ActionScript/TextFieldUtil.as,magika,javascript,ActionScript
/samples/ActionScript/TextFieldUtil.as,hyperpolyglot,AngelScript,ActionScript
/samples/ActionScript/FooBar.as,pygments-file-content,python,ActionScript
/samples/ActionScript/TextFieldUtil.as,starcoder2,Python,ActionScript
/samples/ActionScript/NumberUtil.as,magika,go,ActionScript
/samples/ActionScript/HelloWorld.as,pygments-file-content,carbon,ActionScript
/samples/ActionScript/NumberUtil.as,pygments-file-content,tsql,ActionScript
/samples/ActionScript/HelloWorld.as,magika,java,ActionScript
/samples/ActionScript/FooBar.as,magika,typescript,ActionScript
/samples/Adblock Filter List/fake-news.txt,pygments-file-content,text,Adblock Filter List
/samples/Adblock Filter List/fake-news.txt,starcoder2,Adblock,Adblock Filter List
