,ground-truth,claude-3-5-sonnet-beg2000,claude-3-5-sonnet-end2000,claude-3-5-sonnet-mid2000
1C Enterprise,100.0,0.0,0.0,0.0
2-Dimensional Array,100.0,0.0,0.0,0.0
4D,100.0,100.0,100.0,100.0
ABAP CDS,100.0,0.0,0.0,0.0
ABAP,100.0,100.0,100.0,100.0
ABNF,100.0,100.0,100.0,100.0
AGS Script,100.0,0.0,0.0,0.0
AIDL,100.0,50.0,50.0,50.0
AL,100.0,100.0,66.66666666666667,100.0
AMPL,100.0,100.0,100.0,100.0
API Blueprint,100.0,0.0,0.0,0.0
APL,100.0,100.0,100.0,100.0
ASL,100.0,0.0,50.0,0.0
ASN.1,100.0,0.0,0.0,0.0
ASP.NET,100.0,0.0,0.0,0.0
ATS,100.0,100.0,100.0,100.0
ActionScript,100.0,100.0,100.0,100.0
Adblock Filter List,100.0,0.0,0.0,0.0
Adobe Font Metrics,100.0,0.0,0.0,0.0
Agda,100.0,100.0,100.0,100.0
Alloy,100.0,100.0,100.0,100.0
Alpine Abuild,100.0,0.0,0.0,0.0
Altium Designer,100.0,0.0,0.0,0.0
AngelScript,100.0,100.0,100.0,100.0
Ant Build System,100.0,0.0,0.0,0.0
Antlers,100.0,0.0,0.0,0.0
ApacheConf,100.0,0.0,0.0,0.0
Apex,100.0,88.88888888888889,77.77777777777777,100.0
Apollo Guidance Computer,100.0,0.0,0.0,0.0
AppleScript,100.0,100.0,100.0,100.0
AsciiDoc,100.0,100.0,100.0,100.0
AspectJ,100.0,0.0,0.0,0.0
Assembly,100.0,100.0,100.0,81.81818181818181
Astro,100.0,100.0,100.0,100.0
Asymptote,100.0,100.0,100.0,100.0
AutoHotkey,100.0,100.0,100.0,100.0
Avro IDL,100.0,0.0,0.0,0.0
Awk,100.0,100.0,100.0,100.0
B4X,100.0,0.0,0.0,0.0
BASIC,100.0,75.0,75.0,75.0
BQN,100.0,100.0,100.0,100.0
Ballerina,100.0,100.0,100.0,100.0
Beef,100.0,66.66666666666667,0.0,66.66666666666667
Befunge,100.0,100.0,100.0,100.0
Berry,100.0,0.0,0.0,0.0
BibTeX,100.0,100.0,100.0,100.0
Bicep,100.0,100.0,100.0,100.0
Bikeshed,100.0,0.0,0.0,0.0
BitBake,100.0,83.33333333333333,33.333333333333336,83.33333333333333
Blade,100.0,0.0,0.0,0.0
BlitzBasic,100.0,66.66666666666667,0.0,66.66666666666667
BlitzMax,100.0,100.0,100.0,100.0
Bluespec BH,100.0,0.0,0.0,0.0
Bluespec,100.0,50.0,100.0,50.0
Boogie,100.0,66.66666666666667,66.66666666666667,100.0
Brainfuck,100.0,100.0,100.0,100.0
BrighterScript,100.0,0.0,0.0,0.0
Brightscript,100.0,100.0,100.0,100.0
Browserslist,100.0,100.0,100.0,100.0
C#,100.0,100.0,100.0,100.0
C++,100.0,85.45454545454545,87.27272727272727,87.27272727272727
C,100.0,91.37931034482759,89.65517241379311,93.10344827586206
CAP CDS,100.0,0.0,0.0,0.0
CIL,100.0,0.0,0.0,0.0
CLIPS,100.0,100.0,100.0,100.0
CMake,100.0,100.0,100.0,100.0
COBOL,100.0,100.0,100.0,100.0
CODEOWNERS,100.0,100.0,0.0,100.0
CSON,100.0,25.0,25.0,25.0
CSS,100.0,100.0,100.0,100.0
CSV,100.0,100.0,100.0,100.0
CUE,100.0,100.0,100.0,100.0
CWeb,100.0,0.0,0.0,0.0
Cabal Config,100.0,0.0,0.0,0.0
Caddyfile,100.0,100.0,0.0,100.0
Cadence,100.0,100.0,100.0,100.0
Cairo Zero,100.0,0.0,0.0,0.0
Cairo,100.0,0.0,0.0,20.0
CameLIGO,100.0,0.0,0.0,0.0
Carbon,100.0,50.0,50.0,50.0
CartoCSS,100.0,100.0,100.0,100.0
Ceylon,100.0,100.0,100.0,100.0
Chapel,100.0,60.0,80.0,60.0
Charity,100.0,100.0,100.0,100.0
Checksums,100.0,0.0,0.0,0.0
Circom,100.0,100.0,100.0,100.0
Cirru,100.0,0.0,0.0,0.0
Clarion,100.0,75.0,50.0,75.0
Clarity,100.0,100.0,100.0,100.0
Classic ASP,100.0,0.0,0.0,0.0
Clean,100.0,100.0,88.88888888888889,100.0
Click,100.0,100.0,100.0,100.0
Clojure,100.0,90.0,100.0,90.0
Closure Templates,100.0,0.0,0.0,0.0
Cloud Firestore Security Rules,100.0,0.0,0.0,0.0
CoNLL-U,100.0,0.0,0.0,0.0
CodeQL,100.0,33.333333333333336,33.333333333333336,33.333333333333336
CoffeeScript,100.0,90.0,90.0,90.0
ColdFusion CFC,100.0,0.0,0.0,0.0
ColdFusion,100.0,0.0,100.0,0.0
Common Lisp,100.0,0.0,0.0,0.0
Common Workflow Language,100.0,0.0,0.0,0.0
Component Pascal,100.0,0.0,0.0,0.0
Cool,100.0,100.0,100.0,100.0
Coq,100.0,84.61538461538461,92.3076923076923,84.61538461538461
Creole,100.0,0.0,0.0,0.0
Crystal,100.0,66.66666666666667,100.0,66.66666666666667
Csound Document,100.0,0.0,0.0,0.0
Csound Score,100.0,0.0,0.0,0.0
Csound,100.0,100.0,100.0,100.0
Cuda,100.0,50.0,50.0,50.0
Cue Sheet,100.0,0.0,0.0,0.0
Curry,100.0,0.0,0.0,0.0
Cycript,100.0,0.0,0.0,0.0
Cylc,100.0,0.0,33.333333333333336,0.0
Cypher,100.0,100.0,100.0,100.0
D,100.0,88.88888888888889,66.66666666666667,88.88888888888889
D2,100.0,50.0,50.0,50.0
DIGITAL Command Language,100.0,0.0,0.0,0.0
DM,100.0,100.0,100.0,100.0
DNS Zone,100.0,0.0,0.0,0.0
DTrace,100.0,66.66666666666667,66.66666666666667,66.66666666666667
Dafny,100.0,100.0,100.0,100.0
Dart,100.0,100.0,100.0,100.0
DataWeave,100.0,80.0,80.0,80.0
Debian Package Control File,100.0,0.0,0.0,0.0
DenizenScript,100.0,0.0,0.0,0.0
Dhall,100.0,100.0,100.0,100.0
Diff,100.0,0.0,0.0,0.0
DirectX 3D File,100.0,0.0,0.0,0.0
Dockerfile,100.0,100.0,100.0,100.0
Dogescript,100.0,100.0,100.0,100.0
Dotenv,100.0,0.0,0.0,0.0
Dune,100.0,100.0,100.0,100.0
E-mail,100.0,0.0,0.0,0.0
E,100.0,100.0,100.0,100.0
EBNF,100.0,100.0,100.0,100.0
ECL,100.0,100.0,100.0,100.0
ECLiPSe,100.0,0.0,0.0,0.0
EJS,100.0,60.0,40.0,40.0
EQ,100.0,0.0,0.0,0.0
Eagle,100.0,0.0,0.0,0.0
Earthly,100.0,0.0,0.0,0.0
Easybuild,100.0,0.0,0.0,0.0
Ecmarkup,100.0,0.0,0.0,0.0
Edge,100.0,0.0,0.0,0.0
EdgeQL,100.0,50.0,100.0,100.0
EditorConfig,100.0,66.66666666666667,66.66666666666667,66.66666666666667
Edje Data Collection,100.0,0.0,0.0,0.0
Eiffel,100.0,100.0,100.0,100.0
Elixir,100.0,100.0,100.0,100.0
Elm,100.0,0.0,33.333333333333336,0.0
Elvish,100.0,100.0,100.0,100.0
Emacs Lisp,100.0,0.0,0.0,0.0
EmberScript,100.0,0.0,0.0,0.0
Erlang,100.0,100.0,100.0,93.75
Euphoria,100.0,100.0,100.0,100.0
F#,100.0,100.0,100.0,100.0
FIGlet Font,100.0,0.0,0.0,0.0
FIRRTL,100.0,50.0,50.0,50.0
FLUX,100.0,0.0,0.0,0.0
Fantom,100.0,100.0,100.0,100.0
Faust,100.0,100.0,100.0,100.0
Fennel,100.0,100.0,50.0,100.0
Filebench WML,100.0,0.0,0.0,0.0
Filterscript,100.0,0.0,0.0,0.0
Fluent,100.0,80.0,80.0,80.0
Formatted,100.0,0.0,0.0,0.0
Forth,100.0,100.0,93.75,100.0
