filename,tool_configuration,language,ground-truth
/samples/RPM Spec/manos.spec,claude-3-5-sonnet-end2000,RPM,RPM Spec
/samples/RPM Spec/erlang-erlydtl.spec,claude-3-5-sonnet-end2000,RPM,RPM Spec
/samples/RPM Spec/apache.spec,claude-3-5-sonnet-end2000,RPM,RPM Spec
/samples/CWeb/mpmathdouble.w,claude-3-5-sonnet-end2000,C,CWeb
/samples/CWeb/sat-life.w,claude-3-5-sonnet-end2000,C,CWeb
/samples/Cycript/utils.cy,claude-3-5-sonnet-end2000,JavaScript,Cycript
/samples/reStructuredText/HACKING.rst.txt,claude-3-5-sonnet-end2000,Python,reStructuredText
/samples/KerboScript/lib_pid.ks,claude-3-5-sonnet-end2000,kOS,KerboScript
/samples/KerboScript/hoverslam.ks,claude-3-5-sonnet-end2000,kOS,KerboScript
/samples/Futhark/gaussian_blur.fut,claude-3-5-sonnet-end2000,Python,Futhark
/samples/NCL/primero.ncl,claude-3-5-sonnet-end2000,Python,NCL
/samples/NCL/gsn_csm_xy2_time_series_inputs.ncl,claude-3-5-sonnet-end2000,IDL,NCL
/samples/NCL/PrnOscPat_driver.ncl,claude-3-5-sonnet-end2000,Based,NCL
/samples/Go Module/filenames/go.mod,claude-3-5-sonnet-end2000,Go,Go Module
/samples/Terra/benchmark_nbody.t,claude-3-5-sonnet-end2000,Lua,Terra
/samples/JSON with Comments/Default (Linux).sublime-mousemap,claude-3-5-sonnet-end2000,JSON,JSON with Comments
/samples/JSON with Comments/coc.jsonc,claude-3-5-sonnet-end2000,JSON,JSON with Comments
/samples/JSON with Comments/jade.sublime-completions,claude-3-5-sonnet-end2000,JavaScript,JSON with Comments
/samples/JSON with Comments/SourcePawn.sublime-build,claude-3-5-sonnet-end2000,JSON,JSON with Comments
/samples/JSON with Comments/Dart.sublime-commands,claude-3-5-sonnet-end2000,Dart,JSON with Comments
/samples/JSON with Comments/vue.code-snippets,claude-3-5-sonnet-end2000,Based,JSON with Comments
/samples/JSON with Comments/AMPL.sublime-build,claude-3-5-sonnet-end2000,JSON,JSON with Comments
/samples/JSON with Comments/Context.sublime-menu,claude-3-5-sonnet-end2000,JSON,JSON with Comments
/samples/JSON with Comments/Mariana.sublime-color-scheme,claude-3-5-sonnet-end2000,JSON,JSON with Comments
/samples/JSON with Comments/Tubnil.sublime-theme,claude-3-5-sonnet-end2000,JSON,JSON with Comments
