filename,tool_configuration,language,ground-truth
/samples/RPM Spec/manos.spec,qwen-2-5-7b-instruct,C#,RPM Spec
/samples/RPM Spec/erlang-erlydtl.spec,qwen-2-5-7b-instruct,Shell,RPM Spec
/samples/RPM Spec/apache.spec,qwen-2-5-7b-instruct,bash,RPM Spec
/samples/Nushell/this_week_in_nu.nu,qwen-2-5-7b-instruct,Python,Nushell
/samples/Nushell/release-pkg.nu,qwen-2-5-7b-instruct,PowerShell,Nushell
/samples/CWeb/mpmathdouble.w,qwen-2-5-7b-instruct,C,CWeb
/samples/CWeb/sat-life.w,qwen-2-5-7b-instruct,C,CWeb
/samples/Sieve/dovecot-flagging.sieve,qwen-2-5-7b-instruct,JavaScript,Sieve
/samples/Cycript/utils.cy,qwen-2-5-7b-instruct,JavaScript,Cycript
/samples/reStructuredText/HACKING.rst.txt,qwen-2-5-7b-instruct,This,reStructuredText
/samples/KerboScript/lib_pid.ks,qwen-2-5-7b-instruct,kOS,KerboScript
/samples/KerboScript/hoverslam.ks,qwen-2-5-7b-instruct,kOS,KerboScript
/samples/KerboScript/launch.ks,qwen-2-5-7b-instruct,Kerbal,KerboScript
/samples/P4/mirror_acl.p4,qwen-2-5-7b-instruct,C++,P4
/samples/P4/l2.p4,qwen-2-5-7b-instruct,C,P4
/samples/NCL/primero.ncl,qwen-2-5-7b-instruct,Python,NCL
/samples/NCL/gsn_csm_xy2_time_series_inputs.ncl,qwen-2-5-7b-instruct,The,NCL
/samples/NCL/WRF_track_1.ncl,qwen-2-5-7b-instruct,Fortran,NCL
/samples/NCL/cru_8.ncl,qwen-2-5-7b-instruct,IDL,NCL
/samples/NCL/unique_9.ncl,qwen-2-5-7b-instruct,Fortran,NCL
/samples/NCL/tsdiagram_1.ncl,qwen-2-5-7b-instruct,Fortran,NCL
/samples/NCL/xy_29.ncl,qwen-2-5-7b-instruct,Fortran,NCL
/samples/NCL/viewport_4.ncl,qwen-2-5-7b-instruct,IDL,NCL
/samples/NCL/mcsst_1.ncl,qwen-2-5-7b-instruct,Fortran,NCL
/samples/NCL/weather_sym_6.ncl,qwen-2-5-7b-instruct,Fortran,NCL
/samples/NCL/topo_9.ncl,qwen-2-5-7b-instruct,IDL,NCL
/samples/Go Module/filenames/go.mod,qwen-2-5-7b-instruct,Go,Go Module
/samples/Toit/logger.toit,qwen-2-5-7b-instruct,Python,Toit
/samples/Toit/chatbot.toit,qwen-2-5-7b-instruct,Python,Toit
/samples/Dogescript/example.djs,qwen-2-5-7b-instruct,JavaScript,Dogescript
/samples/APL/UT.dyalog,qwen-2-5-7b-instruct,Adfive,APL
/samples/APL/DeepakChopra.apl,qwen-2-5-7b-instruct,A+,APL
/samples/Terra/arrayt.t,qwen-2-5-7b-instruct,Luarocks,Terra
/samples/JSON with Comments/Default (Linux).sublime-mousemap,qwen-2-5-7b-instruct,JSON,JSON with Comments
/samples/JSON with Comments/coc.jsonc,qwen-2-5-7b-instruct,Python,JSON with Comments
/samples/JSON with Comments/jade.sublime-completions,qwen-2-5-7b-instruct,HTML,JSON with Comments
/samples/JSON with Comments/SourcePawn.sublime-build,qwen-2-5-7b-instruct,SourceMod,JSON with Comments
/samples/JSON with Comments/Dart.sublime-commands,qwen-2-5-7b-instruct,Dart,JSON with Comments
/samples/JSON with Comments/vue.code-snippets,qwen-2-5-7b-instruct,JavaScript,JSON with Comments
/samples/JSON with Comments/AMPL.sublime-build,qwen-2-5-7b-instruct,AMPL,JSON with Comments
/samples/JSON with Comments/Context.sublime-menu,qwen-2-5-7b-instruct,Python,JSON with Comments
/samples/JSON with Comments/Mariana.sublime-color-scheme,qwen-2-5-7b-instruct,JSON,JSON with Comments
/samples/JSON with Comments/Tubnil.sublime-theme,qwen-2-5-7b-instruct,SourcePawn,JSON with Comments
/samples/JSON with Comments/RunBuild.sublime-macro,qwen-2-5-7b-instruct,JSON,JSON with Comments
