,ground-truth,claude-3-5,claude-haiku-4-5,codestral-2508,deepseek-chat-v3-1,gemini-2.5-pro,gpt-4o,gpt-4o-mini,llama-3-2-3b-instruct,meta-llama,qwen-2-5-7b-instruct,starcoder2-3B-2000mid
1C Enterprise,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2-Dimensional Array,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4D,4,4.0,4.0,3.0,4.0,4.0,4.0,0.0,0.0,3.0,0.0,0.0
ABAP CDS,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABAP,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
ABNF,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
AGS Script,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AIDL,2,1.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
AL,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,3.0,2.0,0.0
AMPL,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0
API Blueprint,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APL,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,3.0,1.0,0.0
ASL,2,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0
ASN.1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASP.NET,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATS,9,9.0,9.0,6.0,9.0,9.0,9.0,4.0,0.0,5.0,3.0,0.0
ActionScript,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,2.0
Adblock Filter List,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adobe Font Metrics,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Agda,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
Alloy,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,3.0,0.0,0.0
Alpine Abuild,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Altium Designer,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AngelScript,2,2.0,2.0,1.0,2.0,2.0,2.0,1.0,0.0,2.0,0.0,0.0
Ant Build System,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antlers,5,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
ApacheConf,4,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
Apex,9,9.0,9.0,7.0,8.0,9.0,9.0,8.0,0.0,6.0,8.0,4.0
Apollo Guidance Computer,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AppleScript,7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,2.0,6.0,7.0,1.0
AsciiDoc,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,0.0
AspectJ,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assembly,11,11.0,9.0,5.0,11.0,11.0,11.0,11.0,0.0,8.0,9.0,0.0
Astro,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Asymptote,2,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0
AutoHotkey,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
Avro IDL,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Awk,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
B4X,3,0.0,0.0,0.0,3.0,3.0,3.0,1.0,0.0,3.0,1.0,0.0
BASIC,4,3.0,3.0,3.0,2.0,3.0,4.0,3.0,1.0,2.0,3.0,1.0
BQN,2,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0
